model,accuracy,precision_macro,recall_macro,f1_macro
LogisticRegression_GridSearchCV,0.7863298662704309,0.7559907453877208,0.7560423593205176,0.7555440500908674
LogisticRegression,0.7842496285289747,0.756471928107464,0.7560547934714587,0.7553928442767162
LinearSVC,0.775037147102526,0.7378838048569494,0.7376118543387027,0.7376895829125478
MultinomialNB,0.7542347696879643,0.7198534202794582,0.7020946705839177,0.6970741448347205
