mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_preprocess__text__max_features,param_preprocess__text__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2.757273038228353,0.03848807666930895,0.4222399393717448,0.021231749424665807,0.8,12000,"(1, 1)","{'model__C': 0.8, 'preprocess__text__max_features': 12000, 'preprocess__text__ngram_range': (1, 1)}",0.7566785751697932,0.746459449626724,0.7513416926563988,0.751493239150972,0.004173316544529516,10
6.656390984853108,0.06607899685118782,0.9103419780731201,0.03885834888682594,0.8,12000,"(1, 2)","{'model__C': 0.8, 'preprocess__text__max_features': 12000, 'preprocess__text__ngram_range': (1, 2)}",0.7502202362994616,0.7459288340803335,0.7513250302458703,0.7491580335418885,0.0023275078643455213,33
2.8454676469167075,0.10896793929615295,0.4135889212290446,0.023833703605895033,0.8,16000,"(1, 1)","{'model__C': 0.8, 'preprocess__text__max_features': 16000, 'preprocess__text__ngram_range': (1, 1)}",0.756678218156969,0.74447069874106,0.7514547247755922,0.7508678805578737,0.005000944722373375,15
7.061646938323975,0.12259773125330715,0.9773454666137695,0.02144592288798313,0.8,16000,"(1, 2)","{'model__C': 0.8, 'preprocess__text__max_features': 16000, 'preprocess__text__ngram_range': (1, 2)}",0.7533715793151661,0.745336483722503,0.7510205986852652,0.7499095539076448,0.003373080260851235,30
3.10786763827006,0.1427310931169577,0.4251213073730469,0.02840109280639469,0.8,20000,"(1, 1)","{'model__C': 0.8, 'preprocess__text__max_features': 20000, 'preprocess__text__ngram_range': (1, 1)}",0.7559971408825265,0.7462336098031083,0.7524839576850412,0.751571569456892,0.004037819047773204,8
7.257357041041057,0.22189600784442975,1.030503273010254,0.04752550432492305,0.8,20000,"(1, 2)","{'model__C': 0.8, 'preprocess__text__max_features': 20000, 'preprocess__text__ngram_range': (1, 2)}",0.7561549498621446,0.7452487505643057,0.7506797378238669,0.7506944794167724,0.004452449420784497,20
3.3206845919291177,0.0668442854503167,0.41039172808329266,0.04508361788722034,0.8,24000,"(1, 1)","{'model__C': 0.8, 'preprocess__text__max_features': 24000, 'preprocess__text__ngram_range': (1, 1)}",0.7552444693483965,0.7458322863759216,0.7513857773253989,0.7508208443499056,0.003863216192667837,17
7.606207370758057,0.16077977947691804,1.0490423838297527,0.03967267801007901,0.8,24000,"(1, 2)","{'model__C': 0.8, 'preprocess__text__max_features': 24000, 'preprocess__text__ngram_range': (1, 2)}",0.754545782781258,0.7450726779864592,0.7518358489633561,0.7504847699103578,0.003983632309747657,26
2.7450520197550454,0.09267315213604067,0.4291714032491048,0.020767325762137703,1.0,12000,"(1, 1)","{'model__C': 1.0, 'preprocess__text__max_features': 12000, 'preprocess__text__ngram_range': (1, 1)}",0.7596161061217219,0.7468139310874691,0.7487617697138921,0.7517306023076943,0.00563231134493521,7
6.727691570917766,0.27239612939355906,0.963004986445109,0.056934106202074175,1.0,12000,"(1, 2)","{'model__C': 1.0, 'preprocess__text__max_features': 12000, 'preprocess__text__ngram_range': (1, 2)}",0.750223289786011,0.745652872092643,0.7475292647340399,0.7478018088708979,0.0018757913357415812,39
2.9813350836435952,0.19127505575456394,0.4572903315226237,0.03159409497158873,1.0,16000,"(1, 1)","{'model__C': 1.0, 'preprocess__text__max_features': 16000, 'preprocess__text__ngram_range': (1, 1)}",0.7599642235415589,0.7461326074976726,0.7506665073197216,0.7522544461196511,0.005757288877044706,5
